Interval=	0.001 s
ExcelDateTime=	4.3735397277095275e+004	9/27/2019 9:32:04.741031
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	20.000 mV
3.857	0.721875
3.858	0.721875
3.859	0.7225
3.86	0.7225
3.861	0.723125
3.862	0.723125
3.863	0.723125
3.864	0.72375
3.865	0.72375
3.866	0.72375
3.867	0.72375
3.868	0.72375
3.869	0.72375
3.87	0.72375
3.871	0.72375
3.872	0.72375
3.873	0.72375
3.874	0.72375
3.875	0.72375
3.876	0.72375
3.877	0.72375
3.878	0.723125
3.879	0.72375
3.88	0.72375
3.881	0.72375
3.882	0.72375
3.883	0.72375
3.884	0.72375
3.885	0.72375
3.886	0.72375
3.887	0.72375
3.888	0.724375
3.889	0.724375
3.89	0.724375
3.891	0.724375
3.892	0.724375
3.893	0.724375
3.894	0.724375
3.895	0.725
3.896	0.725
3.897	0.725
3.898	0.725
3.899	0.724375
3.9	0.724375
3.901	0.724375
3.902	0.724375
3.903	0.724375
3.904	0.724375
3.905	0.724375
3.906	0.724375
3.907	0.724375
3.908	0.724375
3.909	0.72375
3.91	0.72375
3.911	0.72375
3.912	0.723125
3.913	0.723125
3.914	0.723125
3.915	0.723125
3.916	0.7225
3.917	0.7225
3.918	0.7225
3.919	0.721875
3.92	0.721875
3.921	0.72125
3.922	0.72125
3.923	0.72125
3.924	0.720625
3.925	0.72
3.926	0.72
3.927	0.719375
3.928	0.719375
3.929	0.71875
3.93	0.71875
3.931	0.71875
3.932	0.718125
3.933	0.718125
3.934	0.718125
3.935	0.71875
3.936	0.71875
3.937	0.71875
3.938	0.719375
3.939	0.719375
3.94	0.72
3.941	0.72
3.942	0.72
3.943	0.720625
3.944	0.720625
3.945	0.72125
3.946	0.72125
3.947	0.72125
3.948	0.721875
3.949	0.721875
3.95	0.721875
3.951	0.721875
3.952	0.721875
3.953	0.72125
3.954	0.72125
3.955	0.72125
3.956	0.72125
3.957	0.721875
3.958	0.721875
3.959	0.721875
3.96	0.721875
3.961	0.721875
3.962	0.721875
3.963	0.721875
3.964	0.721875
3.965	0.721875
3.966	0.721875
3.967	0.721875
3.968	0.7225
3.969	0.7225
3.97	0.7225
3.971	0.7225
3.972	0.7225
3.973	0.7225
3.974	0.7225
3.975	0.7225
3.976	0.7225
3.977	0.7225
3.978	0.7225
3.979	0.7225
3.98	0.7225
3.981	0.7225
3.982	0.7225
3.983	0.7225
3.984	0.721875
3.985	0.721875
3.986	0.721875
3.987	0.721875
3.988	0.721875
3.989	0.721875
3.99	0.721875
3.991	0.72125
3.992	0.72125
3.993	0.72125
3.994	0.72125
3.995	0.72125
3.996	0.72125
3.997	0.72125
3.998	0.72125
3.999	0.72125
4	0.72125
4.001	0.72125
4.002	0.721875
4.003	0.721875
4.004	0.721875
4.005	0.721875
4.006	0.721875
4.007	0.7225
4.008	0.7225
4.009	0.7225
4.01	0.723125
4.011	0.723125
4.012	0.72375
4.013	0.72375
4.014	0.72375
4.015	0.724375
4.016	0.724375
4.017	0.724375
4.018	0.725
4.019	0.725
4.02	0.725
4.021	0.725
4.022	0.725
4.023	0.724375
4.024	0.724375
4.025	0.724375
4.026	0.724375
4.027	0.724375
4.028	0.724375
4.029	0.725
4.03	0.725
4.031	0.725
4.032	0.725
4.033	0.725
4.034	0.725
4.035	0.725
4.036	0.725
4.037	0.725625
4.038	0.725625
4.039	0.725625
4.04	0.725625
4.041	0.725625
4.042	0.725625
4.043	0.725
4.044	0.725
4.045	0.725
4.046	0.724375
4.047	0.724375
4.048	0.724375
4.049	0.72375
4.05	0.72375
4.051	0.72375
4.052	0.723125
4.053	0.723125
4.054	0.7225
4.055	0.7225
4.056	0.7225
4.057	0.721875
4.058	0.721875
4.059	0.721875
4.06	0.721875
4.061	0.721875
4.062	0.721875
4.063	0.721875
4.064	0.721875
4.065	0.721875
4.066	0.721875
4.067	0.721875
4.068	0.721875
4.069	0.721875
4.07	0.721875
4.071	0.72125
4.072	0.72125
4.073	0.72125
4.074	0.72125
4.075	0.721875
4.076	0.721875
4.077	0.721875
4.078	0.721875
4.079	0.721875
4.08	0.721875
4.081	0.721875
4.082	0.721875
4.083	0.721875
4.084	0.7225
4.085	0.7225
4.086	0.7225
4.087	0.723125
4.088	0.723125
4.089	0.723125
4.09	0.72375
4.091	0.72375
4.092	0.724375
4.093	0.724375
4.094	0.724375
4.095	0.725
4.096	0.725
4.097	0.725
4.098	0.725625
4.099	0.725625
4.1	0.72625
4.101	0.72625
4.102	0.72625
4.103	0.726875
4.104	0.726875
4.105	0.726875
4.106	0.726875
4.107	0.726875
4.108	0.726875
4.109	0.7275
4.11	0.7275
4.111	0.726875
4.112	0.726875
