Interval=	0.001 s
ExcelDateTime=	4.3735398023912865e+004	9/27/2019 9:33:09.266072
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	20.000 mV
2.54	0.9875
2.541	0.98375
2.542	0.98
2.543	0.97625
2.544	0.971875
2.545	0.9675
2.546	0.96375
2.547	0.959375
2.548	0.955
2.549	0.95125
2.55	0.946875
2.551	0.94375
2.552	0.94
2.553	0.935625
2.554	0.9325
2.555	0.92875
2.556	0.92625
2.557	0.9225
2.558	0.919375
2.559	0.916875
2.56	0.913125
2.561	0.910625
2.562	0.9075
2.563	0.904375
2.564	0.901875
2.565	0.89875
2.566	0.895
2.567	0.8925
2.568	0.88875
2.569	0.885625
2.57	0.8825
2.571	0.879375
2.572	0.875625
2.573	0.8725
2.574	0.86875
2.575	0.865625
2.576	0.8625
2.577	0.859375
2.578	0.85625
2.579	0.853125
2.58	0.850625
2.581	0.848125
2.582	0.845
2.583	0.8425
2.584	0.84
2.585	0.8375
2.586	0.835
2.587	0.831875
2.588	0.829375
2.589	0.826875
2.59	0.82375
2.591	0.82125
2.592	0.81875
2.593	0.815625
2.594	0.8125
2.595	0.809375
2.596	0.80625
2.597	0.8025
2.598	0.799375
2.599	0.795625
2.6	0.7925
2.601	0.788125
2.602	0.785
2.603	0.781875
2.604	0.778125
2.605	0.775
2.606	0.771875
2.607	0.768125
2.608	0.765625
2.609	0.7625
2.61	0.759375
2.611	0.756875
2.612	0.754375
2.613	0.751875
2.614	0.749375
2.615	0.74625
2.616	0.74375
2.617	0.741875
2.618	0.739375
2.619	0.736875
2.62	0.734375
2.621	0.731875
2.622	0.73
2.623	0.7275
2.624	0.725625
2.625	0.723125
2.626	0.72125
2.627	0.719375
2.628	0.716875
2.629	0.715625
2.63	0.71375
2.631	0.711875
2.632	0.71
2.633	0.70875
2.634	0.706875
2.635	0.705625
2.636	0.70375
2.637	0.7025
2.638	0.700625
2.639	0.699375
2.64	0.6975
2.641	0.695625
2.642	0.694375
2.643	0.6925
2.644	0.690625
2.645	0.689375
2.646	0.6875
2.647	0.68625
2.648	0.684375
2.649	0.683125
2.65	0.68125
2.651	0.68
2.652	0.678125
2.653	0.676875
2.654	0.675
2.655	0.674375
2.656	0.6725
2.657	0.67125
2.658	0.669375
2.659	0.66875
2.66	0.666875
2.661	0.66625
2.662	0.664375
2.663	0.66375
2.664	0.6625
2.665	0.660625
2.666	0.66
2.667	0.658125
2.668	0.6575
2.669	0.655625
2.67	0.655
2.671	0.65375
2.672	0.653125
2.673	0.65125
2.674	0.650625
2.675	0.65
2.676	0.64875
2.677	0.648125
2.678	0.646875
2.679	0.645625
2.68	0.645
2.681	0.644375
2.682	0.6425
2.683	0.641875
2.684	0.64125
2.685	0.639375
2.686	0.63875
2.687	0.636875
2.688	0.635625
2.689	0.635
2.69	0.633125
2.691	0.6325
2.692	0.630625
2.693	0.63
2.694	0.62875
2.695	0.626875
2.696	0.625625
2.697	0.624375
2.698	0.6225
2.699	0.621875
2.7	0.62125
2.701	0.62
2.702	0.619375
2.703	0.618125
2.704	0.6175
2.705	0.616875
2.706	0.61625
2.707	0.61625
2.708	0.615625
2.709	0.615
2.71	0.615
2.711	0.615
2.712	0.615
2.713	0.615
2.714	0.615625
2.715	0.615625
2.716	0.615
2.717	0.615
2.718	0.615
2.719	0.615
2.72	0.615
2.721	0.615
2.722	0.614375
2.723	0.61375
2.724	0.61375
2.725	0.613125
2.726	0.6125
2.727	0.611875
2.728	0.61125
2.729	0.610625
2.73	0.61
2.731	0.60875
2.732	0.60875
2.733	0.6075
2.734	0.606875
2.735	0.60625
2.736	0.605625
2.737	0.605
2.738	0.604375
2.739	0.603125
2.74	0.6025
2.741	0.6025
2.742	0.60125
2.743	0.600625
2.744	0.6
2.745	0.599375
2.746	0.598125
2.747	0.5975
2.748	0.596875
2.749	0.595625
2.75	0.595
2.751	0.594375
2.752	0.593125
2.753	0.5925
2.754	0.591875
2.755	0.590625
2.756	0.590625
2.757	0.589375
2.758	0.589375
2.759	0.588125
2.76	0.588125
2.761	0.5875
2.762	0.58625
2.763	0.58625
2.764	0.585625
2.765	0.584375
2.766	0.584375
2.767	0.583125
2.768	0.5825
2.769	0.581875
2.77	0.580625
2.771	0.58
2.772	0.579375
2.773	0.578125
2.774	0.5775
2.775	0.576875
2.776	0.575625
2.777	0.575625
2.778	0.574375
2.779	0.57375
2.78	0.57375
2.781	0.573125
2.782	0.5725
2.783	0.5725
2.784	0.571875
2.785	0.571875
2.786	0.57125
2.787	0.570625
2.788	0.57
2.789	0.57
2.79	0.569375
2.791	0.56875
2.792	0.56875
2.793	0.568125
2.794	0.568125
2.795	0.5675
2.796	0.5675
2.797	0.568125
2.798	0.568125
2.799	0.568125
2.8	0.568125
2.801	0.56875
2.802	0.56875
2.803	0.569375
2.804	0.569375
2.805	0.57
2.806	0.570625
2.807	0.570625
2.808	0.57125
2.809	0.57125
2.81	0.571875
2.811	0.571875
2.812	0.571875
2.813	0.571875
2.814	0.5725
2.815	0.5725
2.816	0.5725
2.817	0.5725
2.818	0.5725
2.819	0.5725
2.82	0.5725
2.821	0.5725
2.822	0.5725
2.823	0.5725
2.824	0.5725
2.825	0.5725
2.826	0.571875
2.827	0.571875
2.828	0.571875
2.829	0.571875
2.83	0.571875
2.831	0.57125
2.832	0.57125
2.833	0.57125
2.834	0.570625
2.835	0.570625
2.836	0.570625
2.837	0.57
2.838	0.569375
2.839	0.56875
2.84	0.56875
2.841	0.568125
2.842	0.568125
2.843	0.5675
2.844	0.5675
2.845	0.5675
2.846	0.566875
2.847	0.566875
2.848	0.566875
2.849	0.56625
2.85	0.56625
2.851	0.56625
2.852	0.56625
2.853	0.566875
2.854	0.566875
2.855	0.566875
2.856	0.5675
2.857	0.568125
2.858	0.568125
2.859	0.56875
2.86	0.569375
2.861	0.570625
2.862	0.570625
2.863	0.571875
2.864	0.5725
2.865	0.573125
2.866	0.574375
2.867	0.575
2.868	0.575625
2.869	0.57625
2.87	0.576875
2.871	0.5775
2.872	0.578125
2.873	0.57875
2.874	0.579375
2.875	0.579375
2.876	0.58
2.877	0.580625
2.878	0.580625
2.879	0.58125
2.88	0.58125
2.881	0.58125
2.882	0.58125
2.883	0.58125
2.884	0.58125
2.885	0.58125
2.886	0.580625
2.887	0.580625
2.888	0.58
2.889	0.579375
2.89	0.57875
2.891	0.57875
2.892	0.578125
2.893	0.5775
2.894	0.5775
2.895	0.57625
2.896	0.57625
2.897	0.575625
2.898	0.575
2.899	0.574375
2.9	0.574375
2.901	0.57375
2.902	0.5725
2.903	0.5725
2.904	0.571875
2.905	0.57125
2.906	0.57125
2.907	0.57
2.908	0.57
2.909	0.569375
2.91	0.56875
2.911	0.568125
2.912	0.568125
2.913	0.568125
2.914	0.5675
2.915	0.5675
2.916	0.5675
2.917	0.5675
2.918	0.5675
2.919	0.5675
2.92	0.5675
2.921	0.5675
2.922	0.5675
2.923	0.568125
2.924	0.568125
2.925	0.568125
2.926	0.56875
2.927	0.56875
2.928	0.569375
2.929	0.569375
2.93	0.57
2.931	0.57
2.932	0.570625
2.933	0.57125
2.934	0.571875
2.935	0.571875
2.936	0.5725
2.937	0.5725
2.938	0.573125
2.939	0.57375
2.94	0.57375
