Interval=	0.001 s
ExcelDateTime=	4.1949665459635347e+004	11/6/2014 15:58:15.712494
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2
Range=	20.000 mV	10.000 V
0.855	-2.429	-0.001
0.856	-2.426	-0.001
0.857	-2.422	-0.001
0.858	-2.417	-0.001
0.859	-2.413	-0.001
0.86	-2.408	-0.001
0.861	-2.406	-0.001
0.862	-2.404	-0.001
0.863	-2.404	-0.001
0.864	-2.407	-0.001
0.865	-2.410	-0.001
0.866	-2.414	-0.001
0.867	-2.418	-0.001
0.868	-2.422	-0.000
0.869	-2.426	-0.000
0.87	-2.428	-0.000
0.871	-2.428	-0.000
0.872	-2.428	-0.000
0.873	-2.425	-0.001
0.874	-2.422	-0.001
0.875	-2.419	-0.001
0.876	-2.416	-0.001
0.877	-2.414	-0.001
0.878	-2.413	-0.001
0.879	-2.413	-0.001
0.88	-2.414	-0.001
0.881	-2.417	-0.001
0.882	-2.421	-0.001
0.883	-2.424	-0.001
0.884	-2.428	-0.001
0.885	-2.431	-0.001
0.886	-2.433	-0.001
0.887	-2.434	-0.001
0.888	-2.433	-0.001
0.889	-2.430	-0.001
0.89	-2.427	-0.000
0.891	-2.422	-0.000
0.892	-2.419	-0.000
0.893	-2.415	-0.000
0.894	-2.413	-0.000
0.895	-2.411	-0.000
0.896	-2.411	-0.001
0.897	-2.413	-0.001
0.898	-2.416	-0.001
0.899	-2.419	-0.001
0.9	-2.424	-0.001
0.901	-2.427	-0.001
0.902	-2.430	-0.001
0.903	-2.431	-0.001
0.904	-2.431	-0.001
0.905	-2.430	-0.001
0.906	-2.427	-0.001
0.907	-2.424	-0.001
0.908	-2.419	-0.001
0.909	-2.415	-0.001
0.91	-2.412	-0.001
0.911	-2.409	-0.001
0.912	-2.409	-0.000
0.913	-2.409	-0.000
0.914	-2.412	-0.000
0.915	-2.415	-0.000
0.916	-2.419	-0.000
0.917	-2.423	-0.000
0.918	-2.428	-0.001
0.919	-2.430	-0.001
0.92	-2.432	-0.001
0.921	-2.432	-0.001
0.922	-2.430	-0.001
0.923	-2.428	-0.001
0.924	-2.424	-0.001
0.925	-2.420	-0.001
0.926	-2.417	-0.001
0.927	-2.414	-0.001
0.928	-2.413	-0.001
0.929	-2.412	-0.001
0.93	-2.413	-0.001
0.931	-2.416	-0.001
0.932	-2.419	-0.001
0.933	-2.422	-0.001
0.934	-2.426	-0.000
0.935	-2.429	-0.000
0.936	-2.431	-0.000
0.937	-2.432	-0.000
0.938	-2.431	-0.000
0.939	-2.429	-0.000
0.94	-2.427	-0.001
0.941	-2.423	-0.001
0.942	-2.420	-0.001
0.943	-2.417	-0.001
0.944	-2.414	-0.001
0.945	-2.413	-0.001
0.946	-2.414	-0.001
0.947	-2.415	-0.001
0.948	-2.418	-0.001
